layer_idx,best_loss_modified,best_loss_awq,name,,
0,1.205800239963887e-07,8.989651143145657e-09,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
0,5.759420673712157e-08,1.4476888911583676e-08,('mlp.gate_proj', 'mlp.up_proj'),
0,5.936021737467784e-07,7.383135268285583e-08,('mlp.down_proj',),
1,4.149059420272421e-07,4.210056571397357e-08,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
1,8.017610077961133e-06,8.097516659360665e-06,('mlp.gate_proj', 'mlp.up_proj'),
1,5.1219070043701395e-05,6.155595586348612e-07,('mlp.down_proj',),
2,9.43558720441965e-07,1.6493400975237958e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
2,7.275915637504883e-07,1.6381312049746226e-07,('mlp.gate_proj', 'mlp.up_proj'),
2,1.1623282961619015e-06,2.1791655364303062e-07,('mlp.down_proj',),
3,1.1070400852566728e-06,2.0465852755408447e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
3,1.5740037689773509e-06,3.483915441812804e-07,('mlp.gate_proj', 'mlp.up_proj'),
3,1.5410160323461661e-06,3.456411202653096e-07,('mlp.down_proj',),
4,1.5333536654137648e-06,3.186557968057549e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
4,2.989339051195062e-06,6.172819457088526e-07,('mlp.gate_proj', 'mlp.up_proj'),
4,3.798448373205387e-06,6.369427025604707e-07,('mlp.down_proj',),
5,2.0559418212192562e-06,5.279265818759226e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
5,4.831355853149524e-06,1.036497549368785e-06,('mlp.gate_proj', 'mlp.up_proj'),
5,6.255832536575886e-06,1.0200008266390516e-06,('mlp.down_proj',),
6,3.4153559961571144e-06,7.348182127596094e-07,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
6,7.5656141584309246e-06,1.4825533771027739e-06,('mlp.gate_proj', 'mlp.up_proj'),
6,7.784583319265109e-06,1.4148724193756396e-06,('mlp.down_proj',),
7,9.484253286455687e-06,1.1264492059126496e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
7,1.0437283736581986e-05,2.1074473177297756e-06,('mlp.gate_proj', 'mlp.up_proj'),
7,9.132837518476522e-06,2.012412341383214e-06,('mlp.down_proj',),
8,5.896718581565297e-06,1.350702726855301e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
8,1.2569300507983336e-05,2.6412711192208985e-06,('mlp.gate_proj', 'mlp.up_proj'),
8,1.0502424377661485e-05,2.3478243607454577e-06,('mlp.down_proj',),
9,6.3323917297216565e-06,1.5637584370919146e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
9,1.52822440633407e-05,3.2142442740643253e-06,('mlp.gate_proj', 'mlp.up_proj'),
9,1.2061572991884672e-05,2.8600002853916242e-06,('mlp.down_proj',),
10,1.0799623739260893e-05,2.3925195609291013e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
10,1.8735344593341535e-05,3.6897995204736407e-06,('mlp.gate_proj', 'mlp.up_proj'),
10,1.5377140460679165e-05,3.1816083579682386e-06,('mlp.down_proj',),
11,1.5216643133988747e-05,3.3671578141645745e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
11,2.420166005881933e-05,4.21603461011098e-06,('mlp.gate_proj', 'mlp.up_proj'),
11,1.9447974717387785e-05,3.64155678723294e-06,('mlp.down_proj',),
12,2.2190895218115586e-05,4.240007211382573e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
12,2.7288396198015947e-05,5.1838798054422325e-06,('mlp.gate_proj', 'mlp.up_proj'),
12,1.9291068355624494e-05,4.46198839479341e-06,('mlp.down_proj',),
13,1.8463455713712252e-05,3.855301138873284e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
13,3.588234719175559e-05,6.3561588131751e-06,('mlp.gate_proj', 'mlp.up_proj'),
13,2.5851653817181405e-05,5.348740467944971e-06,('mlp.down_proj',),
14,2.4788882225178755e-05,5.753869369912606e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
14,5.310190698275199e-05,8.228913737604252e-06,('mlp.gate_proj', 'mlp.up_proj'),
14,4.26695323907412e-05,7.300006333165444e-06,('mlp.down_proj',),
15,4.013426816807343e-05,8.358765178574965e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
15,6.147399544715881e-05,1.0303505517255802e-05,('mlp.gate_proj', 'mlp.up_proj'),
15,4.179481273660293e-05,9.465083264960692e-06,('mlp.down_proj',),
16,3.1769024924590034e-05,7.899062564739813e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
16,9.72883990750863e-05,1.4434705595844068e-05,('mlp.gate_proj', 'mlp.up_proj'),
16,6.431100460199209e-05,1.3618685233478363e-05,('mlp.down_proj',),
17,3.9203486476953214e-05,9.242726418261344e-06,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
17,0.00011678499957689872,1.8370520466795335e-05,('mlp.gate_proj', 'mlp.up_proj'),
17,9.14508906694559e-05,1.751953879228005e-05,('mlp.down_proj',),
18,5.021132528781891e-05,1.1907725666578e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
18,0.00013794371714958778,2.403940396526685e-05,('mlp.gate_proj', 'mlp.up_proj'),
18,0.00017293342030965365,2.6615576532024604e-05,('mlp.down_proj',),
19,5.352221286067596e-05,1.3680915491512188e-05,('self_attn.q_proj', 'self_attn.k_proj', 'self_attn.v_proj')
19,0.00016504818430313698,3.135492308781697e-05,('mlp.gate_proj', 'mlp.up_proj'),
19,0.00026330922085505265,3.6970826868827525e-05,('mlp.down_proj',),
